action	status	kind	source	destination	bytes	reason
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S0-10K-M04-Y2022-20378616	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S0-10K-M04-Y2022-20378616	6490702	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S0-10K-M04-Y2023-20378616	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S0-10K-M04-Y2023-20378616	6484831	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S0-10K-M05-Y2021-20356038	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S0-10K-M05-Y2021-20356038	6430388	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S0-10K-M05-Y2022-20378616	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S0-10K-M05-Y2022-20378616	6490700	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S0-10K-M05-Y2023-20378616	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S0-10K-M05-Y2023-20378616	6484831	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S0-10K-M06-Y2021-20356035	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S0-10K-M06-Y2021-20356035	6430387	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S0-10K-M06-Y2022-20378616	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S0-10K-M06-Y2022-20378616	6490702	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S0-10K-M06-Y2023-20378616	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S0-10K-M06-Y2023-20378616	6484830	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S0-10K-M07-Y2021-20356033	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S0-10K-M07-Y2021-20356033	6430388	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S0-10K-M07-Y2022-20378616	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S0-10K-M07-Y2022-20378616	6490705	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S0-10K-M07-Y2023-20378616	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S0-10K-M07-Y2023-20378616	6484830	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M00-Y2022-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M00-Y2022-20378617	6490705	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M00-Y2023-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M00-Y2023-20378617	6484832	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M01-Y2022-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M01-Y2022-20378617	6490644	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M01-Y2023-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M01-Y2023-20378617	6484771	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M02-Y2022-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M02-Y2022-20378617	6490705	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M02-Y2023-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M02-Y2023-20378617	6484835	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M03-Y2022-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M03-Y2022-20378617	6490704	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M03-Y2023-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M03-Y2023-20378617	6484831	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M04-Y2022-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M04-Y2022-20378617	6490704	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M04-Y2023-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M04-Y2023-20378617	6484832	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M05-Y2022-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M05-Y2022-20378617	6490702	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M05-Y2023-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M05-Y2023-20378617	6484834	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M06-Y2022-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M06-Y2022-20378617	6490704	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M06-Y2023-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M06-Y2023-20378617	6484832	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M07-Y2022-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M07-Y2022-20378617	6490707	invalid-resolver
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C00-S1-10K-M07-Y2023-20378617	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C00-S1-10K-M07-Y2023-20378617	6484832	invalid-resolver
