action	status	kind	source	destination	bytes	reason
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M04-Y2023-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M04-Y2023-20378630	6484840	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M05-Y2022-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M05-Y2022-20378630	6490711	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M05-Y2023-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M05-Y2023-20378630	6484838	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M06-Y2022-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M06-Y2022-20378630	6490713	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M06-Y2023-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M06-Y2023-20378630	6484839	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M07-Y2022-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M07-Y2022-20378630	6490711	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S1-10K-M07-Y2023-20378630	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S1-10K-M07-Y2023-20378630	6484840	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M00-Y2022-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M00-Y2022-20378631	6490709	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M00-Y2023-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M00-Y2023-20378631	6484841	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M01-Y2022-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M01-Y2022-20378631	6490719	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M01-Y2023-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M01-Y2023-20378631	6484776	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M02-Y2022-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M02-Y2022-20378631	6490710	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M02-Y2023-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M02-Y2023-20378631	6484838	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M03-Y2022-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M03-Y2022-20378631	6490711	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M03-Y2023-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M03-Y2023-20378631	6484838	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M04-Y2022-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M04-Y2022-20378631	6490709	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M04-Y2023-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M04-Y2023-20378631	6484840	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M05-Y2022-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M05-Y2022-20378631	6490712	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M05-Y2023-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M05-Y2023-20378631	6484839	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M06-Y2022-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M06-Y2022-20378631	6490714	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M06-Y2023-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M06-Y2023-20378631	6484838	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M07-Y2022-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M07-Y2022-20378631	6490711	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/missingness-job-C02-S2-10K-M07-Y2023-20378631	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/missingness-job-C02-S2-10K-M07-Y2023-20378631	6484841	out-of-scope-t5
retain	active	run-directory	/project/6085198/kulbear/wildfire/runs/nibi-data-conversion-20260823	-	433	retained-t1
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/nibi-res18-t1-one-step-20343794	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/nibi-res18-t1-one-step-20343794	28477	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/nibi-res18-t1-one-step-20344672	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/nibi-res18-t1-one-step-20344672	17750	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/nibi-res18-t1-one-step-20344836	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/nibi-res18-t1-one-step-20344836	23399	superseded
retain	active	run-directory	/project/6085198/kulbear/wildfire/runs/nibi-wstsplus-data-20260823	-	14787	retained-t1
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P00-FireDrop-C00-20388924	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P00-FireDrop-C00-20388924	6389637	failed-retry
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P00-FireDrop-C00-20398173	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P00-FireDrop-C00-20398173	184899288	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P00-M06-eval-2021-20454658	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P00-M06-eval-2021-20454658	6482647	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P00-eval-2021-20398174	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P00-eval-2021-20398174	6442466	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P00-eval-2022-20399087	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P00-eval-2022-20399087	6450964	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P00-eval-2023-20399088	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P00-eval-2023-20399088	6445093	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P01-FireDropMask-C00-20414716	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P01-FireDropMask-C00-20414716	184959753	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P01-eval-2021-20414717	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P01-eval-2021-20414717	6464571	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P02-FireBlockDrop-C00-20454659	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P02-FireBlockDrop-C00-20454659	184933338	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P02-eval-2021-20454660	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P02-eval-2021-20454660	6482792	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P03-spatial-router-2021-20458324	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P03-spatial-router-2021-20458324	6496444	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P03-spatial-router-2022-20464512	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P03-spatial-router-2022-20464512	6539340	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P03-spatial-router-2022-20465333	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P03-spatial-router-2022-20465333	6550229	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P03-spatial-router-2023-20464513	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P03-spatial-router-2023-20464513	6533469	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P03-spatial-router-2023-20465334	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P03-spatial-router-2023-20465334	6544326	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P04-residual-gate-20462018	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P04-residual-gate-20462018	6532387	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P05-residual-gate-3x3-20464221	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P05-residual-gate-3x3-20464221	6537193	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P06-last-block-router-20464346	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P06-last-block-router-20464346	6534056	failed-retry
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P06-last-block-router-20464396	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P06-last-block-router-20464396	6578597	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P07-stochastic-belief-20558998	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P07-stochastic-belief-20558998	6610781	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P08-teacher-posterior-belief-20561688	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P08-teacher-posterior-belief-20561688	6684439	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P09-GroupDRO-eval-2022-20564992	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P09-GroupDRO-eval-2022-20564992	6652979	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P09-GroupDRO-eval-2023-20564993	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P09-GroupDRO-eval-2023-20564993	6647048	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P09-YearCorruptionGroupDRO-20563415	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P09-YearCorruptionGroupDRO-20563415	6628583	failed-retry
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P09-YearCorruptionGroupDRO-20563639	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P09-YearCorruptionGroupDRO-20563639	6629989	failed-retry
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P09-YearCorruptionGroupDRO-20563807	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P09-YearCorruptionGroupDRO-20563807	6630726	failed-retry
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P09-YearCorruptionGroupDRO-20563978	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P09-YearCorruptionGroupDRO-20563978	64552461	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P10-ERM-eval-2022-20582647	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P10-ERM-eval-2022-20582647	6673445	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P10-ERM-eval-2023-20582648	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P10-ERM-eval-2023-20582648	6667510	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P10-YearBalancedERM-20566466	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P10-YearBalancedERM-20566466	64562687	superseded
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P11-MissingnessRouter-2021-20588449	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P11-MissingnessRouter-2021-20588449	6682251	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P12-CorrectedFocalAlpha-20591988	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P12-CorrectedFocalAlpha-20591988	6660386	failed-retry
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P12-CorrectedFocalAlpha-20595907	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P12-CorrectedFocalAlpha-20595907	64604846	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P13-FireDropOnly-20611586	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P13-FireDropOnly-20611586	64610090	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P13-eval-2022-20612762	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P13-eval-2022-20612762	6713147	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-P13-eval-2023-20612763	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-P13-eval-2023-20612763	6707200	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-fire-belief-attention-t1-20655225	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-fire-belief-attention-t1-20655225	6850262	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-fire-belief-attention-t5-20655226	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-fire-belief-attention-t5-20655226	6809438	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-fire-belief-attention-t5-20657719	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-fire-belief-attention-t5-20657719	6815581	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-fire-belief-attention-t5-20659234	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-fire-belief-attention-t5-20659234	6863346	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-fire-belief-filter-t1-20655223	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-fire-belief-filter-t1-20655223	8425525	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-fire-belief-filter-t5-20655224	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-fire-belief-filter-t5-20655224	6809387	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-fire-belief-filter-t5-20657718	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-fire-belief-filter-t5-20657718	6815460	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-fire-belief-filter-t5-20659221	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-fire-belief-filter-t5-20659221	8430915	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-fire-belief-reconstruction-t1-20655227	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-fire-belief-reconstruction-t1-20655227	8426541	rejected
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-fire-belief-reconstruction-t5-20655228	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-fire-belief-reconstruction-t5-20655228	6809918	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-fire-belief-reconstruction-t5-20659132	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-fire-belief-reconstruction-t5-20659132	6814445	out-of-scope-t5
archive	archived	run-directory	/project/6085198/kulbear/wildfire/runs/prototype-fire-belief-reconstruction-t5-20659235	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/prototype-fire-belief-reconstruction-t5-20659235	8511063	out-of-scope-t5
retain	active	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-B0-corrected-3K-21093263.out	-	1455418	retained-t1
retain	active	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-B02-heldout-2022-21098505.out	-	19816	retained-t1
retain	active	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-B02-heldout-2023-21098506.out	-	8044	retained-t1
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-B1-corrected-3K-21093264.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-B1-corrected-3K-21093264.out	650788	out-of-scope-t5
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-B1-corrected-3K-r1-21096854.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-B1-corrected-3K-r1-21096854.out	1428225	out-of-scope-t5
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-B1-corrected-3K-r2-21102675.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-B1-corrected-3K-r2-21102675.out	1470853	out-of-scope-t5
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-B1-heldout-22-23-21104532.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-B1-heldout-22-23-21104532.out	13818	out-of-scope-t5
retain	active	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-B2-corrected-3K-21093265.out	-	1455338	retained-t1
retain	active	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-B3-corrected-3K-21093266.out	-	1456594	retained-t1
retain	active	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-B3-heldout-22-23-21099907.out	-	14037	retained-t1
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-B4-corrected-3K-21094665.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-B4-corrected-3K-21094665.out	1461119	rejected
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-B5-T5-FB-S0-3K-21144563.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-B5-T5-FB-S0-3K-21144563.out	1469239	out-of-scope-t5
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D1-ERM-3K-21094927.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D1-ERM-3K-21094927.out	3074	failed-retry
retain	active	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D1-ERM-3K-r1-21102676.out	-	6473	retained-t1
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D1-KL-3K-21094928.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D1-KL-3K-21094928.out	3071	failed-retry
retain	active	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D1-KL-3K-r1-21102677.out	-	6446	retained-t1
retain	active	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D1-heldout-pair-21105328.out	-	27955	retained-t1
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D10-RPP-S0-3K-21120041.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D10-RPP-S0-3K-21120041.out	5133	rejected
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D11-CRPP-S0-3K-21121610.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D11-CRPP-S0-3K-21121610.out	5147	rejected
retain	active	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D12-HOLDOUT-21122938.out	-	28384	retained-t1
retain	active	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D12-SARP-S0-3K-21122172.out	-	5142	retained-t1
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D13-SARP-T5-EVAL21-21151982.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D13-SARP-T5-EVAL21-21151982.out	1474	out-of-scope-t5
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D13-SARP-T5-EVAL21R2-21152302.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D13-SARP-T5-EVAL21R2-21152302.out	4235	out-of-scope-t5
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D13-SARP-T5-S0-3K-21149785.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D13-SARP-T5-S0-3K-21149785.out	2973	out-of-scope-t5
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D13-STD-T5-EVAL21-21151981.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D13-STD-T5-EVAL21-21151981.out	1471	out-of-scope-t5
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D13-STD-T5-EVAL21R2-21152301.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D13-STD-T5-EVAL21R2-21152301.out	4238	out-of-scope-t5
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D13-STD-T5-S0-3K-21149784.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D13-STD-T5-S0-3K-21149784.out	3092	out-of-scope-t5
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D2-RNC-3K-21094930.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D2-RNC-3K-21094930.out	5532	rejected
retain	active	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D2-STD-3K-21094929.out	-	5786	retained-t1
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D4-TOKEN-3K-21103691.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D4-TOKEN-3K-21103691.out	5663	rejected
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D5-CIWC-2021-21111043.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D5-CIWC-2021-21111043.out	6271	rejected
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D6-CIRC-S0-3K-21112470.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D6-CIRC-S0-3K-21112470.out	6770	rejected
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D7-CRA-S0-3K-21114921.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D7-CRA-S0-3K-21114921.out	6255	rejected
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D8-FFCA-S0-3K-21116301.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D8-FFCA-S0-3K-21116301.out	6276	rejected
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-D9-CEPR-S0-3K-21117395.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-D9-CEPR-S0-3K-21117395.out	6767	rejected
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-P00-M06-eval-20454658.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-P00-M06-eval-20454658.out	3960	superseded
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-P01-FireDropMask-C00-20414716.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-P01-FireDropMask-C00-20414716.out	4932049	rejected
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-P01-eval-2021-20414717.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-P01-eval-2021-20414717.out	4003	rejected
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-P02-FireBlockDrop-20454659.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-P02-FireBlockDrop-20454659.out	4926568	superseded
archive	archived	slurm-log	/project/6085198/kulbear/wildfire/runs/slurm-P02-eval-2021-20454660.out	/project/6085198/kulbear/wildfire/archive/pre-t1-cleanup-2026-09-04/runs/slurm-P02-eval-2021-20454660.out	4003	superseded
